VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=   120,F=POINT
10.5681  0.236987E+02  0.145844E-04  0.674524E+02  0.499431E-05  0.311493E+02  0.418330E-05   77.42  143.35  167.81  140.01 -131.04  103.55
10.9025  0.275684E+02  0.835503E-05  0.772969E+02  0.536292E-05  0.175149E+02  0.378021E-05   71.63   53.23  157.34 -147.09 -136.53  118.20
11.2370  0.288032E+02  0.155839E-04  0.840661E+02  0.371959E-05  0.700888E+01  0.682073E-05   66.87  -59.27  150.33   27.55 -170.39  -58.88
11.5714  0.275878E+02  0.136732E-04  0.852777E+02  0.563904E-05  0.753937E+01  0.295147E-05   60.99  -11.53  147.04  104.77  107.05   57.29
11.9059  0.244593E+02  0.282344E-04  0.763710E+02  0.335317E-05  0.130801E+02  0.743107E-05   53.51  -46.22  146.68   55.90   80.05  -51.73
12.2403  0.195351E+02  0.216118E-04  0.573600E+02  0.352886E-05  0.175997E+02  0.947880E-06   44.04  100.32  145.38  137.81   68.01  -39.59
12.5748  0.126317E+02  0.165795E-04  0.353186E+02  0.256309E-05  0.207859E+02  0.329251E-05   28.15   79.28  137.65 -146.77   60.43   56.15
12.9092  0.696867E+01  0.199322E-04  0.169566E+02  0.830711E-05  0.221741E+02  0.433276E-05  -31.06  -68.70  112.52  -68.71   56.33 -152.66
13.2437  0.146601E+02  0.219269E-04  0.114445E+02  0.383328E-05  0.206006E+02  0.213034E-05  -87.50   48.27   36.62   83.38   54.68  106.97
13.5782  0.247026E+02  0.268136E-04  0.204640E+02  0.153008E-05  0.161834E+02  0.708994E-05  -97.18   60.84   -9.68 -144.63   52.52   32.66
13.9126  0.301023E+02  0.227734E-04  0.304808E+02  0.425094E-05  0.103366E+02  0.502041E-05 -101.04  -37.80  -26.53 -134.86   44.14  -21.54
14.2471  0.303375E+02  0.249665E-04  0.365885E+02  0.169799E-05  0.484524E+01  0.601117E-05 -105.88  120.11  -31.02  118.24   14.30  -13.37
14.5815  0.270830E+02  0.586577E-04  0.373944E+02  0.839754E-05  0.389232E+01  0.184829E-05 -114.72 -173.92  -35.91 -160.29  -58.88 -120.10
14.9160  0.209670E+02  0.368081E-04  0.316624E+02  0.665326E-05  0.663024E+01  0.131893E-04 -129.20 -105.59  -40.49  -84.80  -98.65  142.18
15.2504  0.141877E+02  0.139878E-04  0.217127E+02  0.198326E-05  0.935710E+01  0.636376E-06 -160.99 -102.27  -49.92  -38.53 -114.88  -70.41
15.5849  0.152333E+02  0.277093E-04  0.114886E+02  0.144917E-05  0.110060E+02  0.102833E-05  143.39 -154.36  -74.55   31.49 -123.48  -63.54
15.9193  0.243133E+02  0.105349E-04  0.741307E+01  0.189889E-05  0.107842E+02  0.963148E-06  115.60  -98.49 -147.44  161.30 -128.89   24.66
16.2538  0.313104E+02  0.155169E-04  0.135121E+02  0.179004E-05  0.860586E+01  0.397477E-05  104.03   95.02  161.84  103.60 -135.64    3.46
16.5882  0.330596E+02  0.137595E-04  0.204825E+02  0.189177E-05  0.540265E+01  0.236411E-05   94.07 -150.69  143.77 -134.65 -149.98  169.92
16.9227  0.303476E+02  0.765729E-05  0.244824E+02  0.112017E-05  0.257844E+01  0.274862E-05   80.95  -57.43  134.36  163.72  166.76 -101.23
17.2571  0.251143E+02  0.250237E-04  0.235824E+02  0.287087E-05  0.323234E+01  0.587887E-05   61.09   50.15  126.54  -70.79   85.11  100.70
17.5916  0.208095E+02  0.507821E-05  0.182999E+02  0.712451E-06  0.596338E+01  0.979715E-06   29.27   99.79  114.88  114.39   55.82   30.00
17.9261  0.218188E+02  0.145150E-04  0.108590E+02  0.216941E-05  0.828533E+01  0.550914E-05   -8.57   15.59   90.16  -64.67   42.95   32.66
18.2605  0.261857E+02  0.516719E-05  0.709284E+01  0.684289E-06  0.936200E+01  0.479230E-05  -35.89  156.71   10.26  121.93   33.73  129.55
18.5950  0.287784E+02  0.110283E-04  0.200067E+02  0.141682E-05  0.914071E+01  0.397686E-05  -55.60  149.39  -50.21  -51.17   22.58  -75.79
18.9294  0.278937E+02  0.736018E-04  0.457747E+03  0.761578E-06  0.969360E+01  0.743054E-05  -74.72 -150.11   28.49  -35.68    4.44  -44.87
19.2639  0.270300E+02  0.133930E-04  0.367655E+02  0.440506E-05  0.177251E+01  0.254557E-05  -96.06  -29.43  -46.36   99.14   72.72  172.80
19.5983  0.215970E+02  0.200497E-05  0.164883E+02  0.306765E-05  0.437186E+01  0.284516E-05 -117.03 -146.23   31.86  110.65 -110.87 -133.06
19.9328  0.199948E+02  0.325539E-04  0.862300E+01  0.167459E-05  0.551694E+01  0.138781E-05 -167.60  -54.39  -30.06   17.84  -59.06  168.60
20.2672  0.198782E+02  0.307140E-04  0.152705E+00  0.704221E-05  0.404025E+01  0.646850E-05  161.89    2.02    8.37  100.83 -113.99  132.33
20.6017  0.256495E+02  0.250593E-04  0.517265E+01  0.108752E-05  0.679685E+01  0.367337E-05  119.25  -56.66  176.36   79.47 -114.59   72.39
20.9361  0.279448E+02  0.409713E-04  0.103825E+02  0.331474E-05  0.195014E+01  0.114012E-04  112.59    5.39  145.93  102.54  -91.83 -131.06
21.2706  0.239976E+02  0.351779E-04  0.114023E+02  0.453051E-05  0.879155E-01  0.247490E-05   89.76  104.88  172.44  163.01   -0.45   12.98
21.6050  0.166840E+02  0.289161E-04  0.459298E+01  0.218218E-05  0.282322E+01  0.160209E-04   62.86   68.66  129.22   77.91   39.96  -96.93
21.9395  0.141040E+02  0.492678E-04  0.453784E+01  0.355526E-05  0.503902E+01  0.438434E-05   -4.63   58.93   72.02  170.14   46.29 -161.15
22.2740  0.240891E+02  0.454713E-04  0.473222E+01  0.198349E-05  0.552817E+01  0.132257E-04  -42.21 -136.19   14.70  -69.25   50.65  106.07
22.6084  0.287763E+02  0.298741E-04  0.902172E+01  0.524738E-05  0.413600E+01  0.227114E-04  -58.55  124.26  -24.74  172.96   51.08  -73.95
22.9429  0.259514E+02  0.129687E-03  0.124945E+02  0.108105E-04  0.182229E+01  0.143020E-04  -78.24   56.46  -28.81   78.73   44.05  163.95
23.2773  0.205286E+02  0.425646E-04  0.107747E+02  0.421857E-05  0.932175E+00  0.802860E-05 -112.58   65.32  -29.57   68.71  -99.31 -166.16
23.6118  0.202626E+02  0.230765E-04  0.648827E+01  0.204097E-05  0.234322E+01  0.159636E-04 -154.17 -153.56  -35.22  -45.80 -120.67   84.78
23.9462  0.240481E+02  0.354901E-04  0.181999E+01  0.284029E-05  0.399900E+01  0.246065E-05  166.10   20.00  -26.63 -140.74 -124.47 -156.96
24.2807  0.254109E+02  0.359201E-04  0.440632E+01  0.328473E-05  0.332995E+01  0.815238E-05  141.53  -33.83  103.97  150.29 -119.67  116.07
24.6151  0.230060E+02  0.316504E-04  0.100302E+02  0.311173E-05  0.196707E+01  0.433341E-05  113.40   73.46  122.48 -133.41 -115.16 -164.63
24.9496  0.193334E+02  0.121404E-04  0.974131E+01  0.682663E-05  0.108835E+01  0.282488E-05   79.54  158.66  135.18  -70.33  -68.67   11.01
25.2840  0.160783E+02  0.391092E-04  0.693533E+01  0.392838E-05  0.233102E+01  0.563812E-05   33.89 -114.94  143.24  -47.09  -21.95  144.36
25.6185  0.191215E+02  0.289459E-04  0.738955E+01  0.175488E-05  0.375595E+01  0.102880E-04  -14.60  -12.47  165.33  147.85  -12.61  100.77
25.9529  0.210774E+02  0.444666E-04  0.299505E+02  0.426641E-05  0.476024E+01  0.201701E-04  -42.70   86.97  171.05 -112.88    3.12  -72.85
26.2874  0.162657E+02  0.863704E-04  0.114334E+03  0.503150E-05  0.204942E+02  0.720149E-04  -91.16   43.51  -43.62  -10.49  -41.45  155.24
26.6218  0.182056E+02  0.172918E-03  0.350915E+02  0.647366E-05  0.300658E+01  0.512198E-04 -118.60  -88.16  -14.25  -25.16  -53.73  170.86
26.9563  0.155953E+02  0.974934E-04  0.126192E+02  0.606220E-05  0.553801E+01  0.136627E-04 -168.23   55.48  -27.49  142.46 -119.59  -84.56
27.2908  0.215131E+02  0.656089E-04  0.899624E+00  0.189575E-05  0.737044E+01  0.107257E-04  149.04  106.12   92.51 -163.49 -116.48  -17.60
27.6252  0.225336E+02  0.119207E-03  0.106523E+02  0.106660E-05  0.623661E+01  0.700140E-05  122.63  -38.08  139.38   22.65 -117.35   90.87
27.9597  0.191649E+02  0.599496E-04  0.150129E+02  0.681019E-05  0.426460E+01  0.118418E-05   87.81  101.82  137.42 -161.56 -125.45   14.96
28.2941  0.163879E+02  0.775552E-04  0.151722E+02  0.167375E-05  0.285557E+01  0.755520E-05   44.39    1.80  122.79 -164.59 -120.48  -84.29
28.6286  0.179622E+02  0.116627E-03  0.145933E+02  0.605980E-05  0.985255E+00  0.169049E-04   -5.97  -51.00  107.51    4.31  -68.05  156.19
28.9630  0.191778E+02  0.889680E-04  0.113575E+02  0.231179E-05  0.154962E+01  0.599798E-04  -44.08  176.61   97.02  108.87   -3.30   96.42
29.2975  0.184330E+02  0.425890E-04  0.797922E+01  0.721587E-05  0.202332E+01  0.135637E-04  -80.74    2.16   70.58  -78.12   -4.70  103.26
29.6319  0.158225E+02  0.236820E-04  0.585629E+01  0.336700E-05  0.163142E+01  0.166769E-04 -124.27  -99.36   60.21  -14.61   -2.04  133.00
