Nb de frequency :   120
 0.2000
  -5.559031E-04  -6.918927E-10  -4.861919E-08  5.055492E-10  -1.168795E-03  -1.052527E-10
  3.803065E-09  -7.123265E-03  -4.352871E-07  1.194951E-03  9.515819E-09  5.442475E-10
  -9.733354E-10  1.462296E-07  3.889394E-01  8.384773E-10  3.510642E-09  8.835654E-10
  -1.992030E-10  1.113051E-03  4.011762E-09  -3.721179E-04  -1.790149E-09  3.062667E-12
  -7.773265E-04  -1.029608E-09  7.461192E-09  1.098827E-10  -1.592482E-03  -1.283173E-10
  2.545753E-09  -1.142136E-09  -5.648948E-08  2.735131E-10  6.903481E-09  -2.495121E-05
 0.5345
  1.029946E-03  -7.467719E-11  7.250252E-09  -6.566687E-11  2.240225E-03  -2.596573E-11
  2.292635E-10  1.838539E-03  -2.444809E-07  -1.387736E-03  3.989510E-10  -7.524175E-11
  -5.291138E-10  1.279984E-08  7.674734E-01  3.700634E-09  -8.015308E-09  -3.248614E-09
  -4.725099E-11  -1.295501E-03  5.312047E-08  4.670105E-04  1.543335E-10  -1.253909E-10
  1.477779E-03  3.631719E-12  -5.731275E-09  -5.678484E-11  3.205219E-03  -9.866178E-11
  -3.798621E-10  1.432446E-10  -3.759055E-08  1.504731E-11  -1.118033E-09  3.017176E-06
 0.8689
  1.571674E-03  1.355105E-10  4.266532E-08  -3.777668E-10  3.407339E-03  1.584336E-11
  -1.943461E-09  5.874565E-03  -3.110797E-07  -2.382022E-03  -5.201024E-09  -4.235186E-10
  1.684039E-10  -6.543625E-08  1.213806E+00  6.079482E-09  -1.573025E-08  -5.947586E-09
  4.657090E-11  -2.222165E-03  8.237178E-08  7.838984E-04  1.287683E-09  -2.110577E-10
  2.250563E-03  9.720200E-10  -1.380415E-08  -9.293341E-11  4.848766E-03  -7.264371E-11
  -1.812876E-09  8.682710E-10  -2.853857E-08  -1.380068E-10  -5.079750E-09  1.814567E-05
 1.2034
  1.388404E-03  3.304388E-11  6.060892E-08  -4.776144E-10  3.019054E-03  2.631040E-11
