Nb de frequency :   120
 0.2000
  0.367433E-06 -0.886189E-10 -0.394022E-08 -0.198866E-10  0.837041E-06 -0.189414E-10
  0.285228E-10  0.943221E-06 -0.129021E-06 -0.394266E-06  0.796983E-10 -0.819299E-10
 -0.465661E-10  0.149943E-07  0.287426E+00 -0.592408E-08 -0.482946E-08  0.451109E-10
 -0.227554E-10 -0.369891E-06 -0.355132E-08  0.151964E-06  0.576786E-10  0.392969E-10
  0.549006E-06  0.128907E-09  0.447293E-08  0.491507E-10  0.124910E-05 -0.707102E-10
  0.828047E-12 -0.114716E-09 -0.513864E-08  0.918207E-11  0.763982E-11 -0.676262E-09
 0.5345
  0.718096E-05 -0.551704E-10  0.367121E-08 -0.269719E-11  0.163231E-04  0.398113E-10
  0.237573E-10  0.187811E-04 -0.384605E-06 -0.769574E-05 -0.506748E-09  0.244192E-09
 -0.466640E-08 -0.311093E-07  0.775894E+00  0.114949E-07 -0.137432E-07  0.213876E-09
  0.322799E-10 -0.722311E-05  0.951435E-08  0.296180E-05  0.157193E-09 -0.308984E-09
  0.107022E-04  0.221532E-09  0.126665E-07 -0.423424E-10  0.243304E-04 -0.140530E-09
  0.298320E-11  0.144283E-10 -0.307060E-07 -0.358664E-10 -0.719702E-10  0.636814E-09
 0.8689
  0.322397E-04 -0.200925E-09  0.364417E-08  0.140458E-11  0.732102E-04  0.425695E-11
  0.847438E-10  0.843917E-04 -0.566506E-06 -0.345857E-04  0.357170E-09  0.293447E-09
 -0.227597E-08  0.485540E-07  0.128933E+01 -0.108741E-08 -0.744589E-08 -0.111206E-07
  0.775449E-11 -0.324516E-04  0.270848E-07  0.132950E-04 -0.286734E-09  0.180555E-09
  0.480526E-04 -0.150151E-10  0.274007E-07 -0.530528E-10  0.109112E-03  0.230548E-09
  0.329110E-10  0.200396E-09 -0.403275E-07 -0.688727E-11  0.566329E-11  0.108081E-08
 1.2034
  0.913829E-04 -0.814819E-09  0.283874E-07 -0.398620E-10  0.207139E-03 -0.735933E-10
  0.607078E-10  0.240113E-03 -0.958716E-06 -0.981276E-04  0.801650E-10 -0.428247E-09
  0.749480E-08  0.504323E-08  0.184209E+01  0.213287E-07 -0.960709E-08 -0.134486E-07
 -0.111959E-09 -0.920310E-04  0.157764E-07  0.376103E-04  0.934933E-09 -0.312303E-10
  0.135985E-03  0.233994E-08  0.434251E-07 -0.113378E-10  0.308237E-03  0.130838E-09
  0.115464E-09  0.731655E-10 -0.629311E-07 -0.143290E-11  0.211892E-09  0.110651E-07
 1.5378
  0.207957E-03 -0.755263E-10  0.329812E-07 -0.109050E-10  0.470291E-03  0.206320E-09
