Nb de frequency :   120
 0.2000
  0.783581E-01 -0.395812E-08 -0.655273E-07  0.298314E-08  0.346979E-01 -0.378350E-08
  0.168366E-07  0.147036E+01 -0.305974E-05 -0.259078E-01  0.473154E-07 -0.369255E-08
 -0.109430E-07 -0.458211E-06  0.716630E+01  0.396685E-07  0.670825E-07 -0.494765E-09
  0.811269E-09 -0.248064E-01 -0.908331E-07  0.422953E-01  0.289721E-08 -0.330147E-09
  0.219730E-01  0.137370E-07  0.878063E-07 -0.739965E-08  0.132402E+00  0.940418E-09
  0.156424E-07 -0.512227E-08 -0.117143E-06  0.549335E-08  0.660034E-07  0.646455E-01
 0.5345
  0.784539E-01  0.582077E-08  0.197906E-07  0.161708E-08  0.348634E-01 -0.354339E-08
  0.244763E-07  0.147291E+01 -0.296597E-05 -0.260367E-01  0.823358E-07 -0.642103E-07
 -0.232831E-08  0.409782E-06  0.637647E+01  0.107684E-08  0.772047E-07 -0.390282E-07
  0.327418E-10 -0.249485E-01  0.148611E-06  0.423608E-01  0.184264E-08 -0.258115E-08
  0.220978E-01 -0.139698E-08  0.844302E-07  0.695582E-08  0.132717E+00  0.506407E-08
  0.146374E-07 -0.761356E-07 -0.221946E-06  0.425280E-08  0.566899E-07  0.647317E-01
 0.8689
  0.785548E-01 -0.989530E-08  0.170985E-07  0.132059E-08  0.352167E-01 -0.800355E-09
  0.240107E-07  0.147231E+01 -0.236667E-05 -0.262917E-01  0.619985E-07 -0.246473E-07
  0.175787E-07 -0.132248E-06  0.598207E+01  0.110915E-06 -0.136015E-07 -0.192085E-07
 -0.149157E-09 -0.251536E-01  0.173597E-06  0.424962E-01  0.537440E-09  0.116415E-08
  0.223570E-01  0.195578E-07  0.105792E-06  0.281943E-08  0.133399E+00 -0.108957E-07
  0.213577E-07 -0.484288E-07 -0.164175E-06  0.763976E-09  0.754318E-07  0.646769E-01
 1.2034
  0.788365E-01 -0.128057E-08  0.624714E-07 -0.429281E-09  0.357126E-01  0.376167E-08
  0.215077E-07  0.147457E+01 -0.271254E-05 -0.266475E-01  0.795930E-07 -0.518557E-07
  0.240980E-07 -0.108033E-06  0.574063E+01  0.369328E-07  0.478281E-07  0.823638E-08
