
      0    580    592      1
    1 -0.3375000E+00 -0.1497598E+00 -0.2438629E-02  0.0000000E+00 -0.9951847E+00 -0.9801730E-01  0.3675642E-03
    1 -0.3375000E+00 -0.1488083E+00 -0.7222172E-02  0.0000000E+00 -0.9569404E+00 -0.2902847E+00  0.3675642E-03
    1 -0.3375000E+00 -0.1469419E+00 -0.1172817E-01  0.0000000E+00 -0.8819214E+00 -0.4713964E+00  0.3675642E-03
    1 -0.3375000E+00 -0.1442322E+00 -0.1578346E-01  0.0000000E+00 -0.7730094E+00 -0.6343946E+00  0.3675648E-03
    1 -0.3375000E+00 -0.1407835E+00 -0.1923221E-01  0.0000000E+00 -0.6343933E+00 -0.7730104E+00  0.3675641E-03
    1 -0.3375000E+00 -0.1367282E+00 -0.2194186E-01  0.0000000E+00 -0.4713979E+00 -0.8819206E+00  0.3675633E-03
    1 -0.3375000E+00 -0.1322222E+00 -0.2380831E-01  0.0000000E+00 -0.2902838E+00 -0.9569405E+00  0.3675653E-03
    1 -0.3375000E+00 -0.1274386E+00 -0.2475982E-01  0.0000000E+00 -0.9801736E-01 -0.9951847E+00  0.3675639E-03
    1 -0.3375000E+00 -0.1225614E+00 -0.2475982E-01  0.0000000E+00  0.9801722E-01 -0.9951847E+00  0.3675645E-03
    1 -0.3375000E+00 -0.1177778E+00 -0.2380831E-01  0.0000000E+00  0.2902847E+00 -0.9569404E+00  0.3675642E-03
    1 -0.3375000E+00 -0.1132718E+00 -0.2194186E-01  0.0000000E+00  0.4713967E+00 -0.8819214E+00  0.3675643E-03
    1 -0.3375000E+00 -0.1092165E+00 -0.1923221E-01  0.0000000E+00  0.6343933E+00 -0.7730104E+00  0.3675641E-03
    1 -0.3375000E+00 -0.1057678E+00 -0.1578346E-01  0.0000000E+00  0.7730108E+00 -0.6343928E+00  0.3675641E-03
    1 -0.3375000E+00 -0.1030581E+00 -0.1172817E-01  0.0000000E+00  0.8819208E+00 -0.4713976E+00  0.3675644E-03
    1 -0.3375000E+00 -0.1011917E+00 -0.7222172E-02  0.0000000E+00  0.9569407E+00 -0.2902833E+00  0.3675641E-03
    1 -0.3375000E+00 -0.1002402E+00 -0.2438629E-02  0.0000000E+00  0.9951847E+00 -0.9801730E-01  0.3675642E-03
    1 -0.2625000E+00 -0.1497598E+00 -0.2438629E-02  0.0000000E+00 -0.9951847E+00 -0.9801730E-01  0.3675644E-03
    1 -0.2625000E+00 -0.1488083E+00 -0.7222172E-02  0.0000000E+00 -0.9569403E+00 -0.2902847E+00  0.3675644E-03
